,prompt,A,B,C,D,answer,queries
97986,Foxes eat,wolves,mice,man,bears,B,"what is the best possible answer for this question: Foxes eat
 (A) mice
 (B) mice
 (C) man
 (D) bears
"
94776,Plants require,oxygen,H2O,Fe,clouds,B,"what is the best possible answer for this question: Plants require
 (A) H2O
 (B) H2O
 (C) Fe
 (D) clouds
"
96477,Hawks eat,eggs,eagles,dogs,geckos,D,"what is the best possible answer for this question: Hawks eat
 (A) eagles
 (B) eagles
 (C) dogs
 (D) geckos
"
95031,Sleet is,potentially dangerous,poison,hot,unhealthy,A,"what is the best possible answer for this question: Sleet is
 (A) poison
 (B) poison
 (C) hot
 (D) unhealthy
"
96481,A faucet drips,lava,air,sand,melted ice,D,"what is the best possible answer for this question: A faucet drips
 (A) air
 (B) air
 (C) sand
 (D) melted ice
"
93929,The sea is,A mega Museum,A solid,Jello,Candy,A,"what is the best possible answer for this question: The sea is
 (A) A solid
 (B) A solid
 (C) Jello
 (D) Candy
"
97128,When is hotter?,desert,night,morning,noon,D,"what is the best possible answer for this question: When is hotter?
 (A) night
 (B) night
 (C) morning
 (D) noon
"
95232,Some fish are,cannibals,Dry,Land animals,Magic,A,"what is the best possible answer for this question: Some fish are
 (A) Dry
 (B) Dry
 (C) Land animals
 (D) Magic
"
98275,A cougar eats,unwary dandelions,clouds,carrots,voles,D,"what is the best possible answer for this question: A cougar eats
 (A) clouds
 (B) clouds
 (C) carrots
 (D) voles
"
93954,Humans are,Air,Sunlight,Water,Plants,C,"what is the best possible answer for this question: Humans are
 (A) Sunlight
 (B) Sunlight
 (C) Water
 (D) Plants
"
97421,A bee is a pollinating,moving alive thing,rock,tree,song,A,"what is the best possible answer for this question: A bee is a pollinating
 (A) rock
 (B) rock
 (C) tree
 (D) song
"
97958,raccoons eat what?,debris,people,fire,dirt,A,"what is the best possible answer for this question: raccoons eat what?
 (A) people
 (B) people
 (C) fire
 (D) dirt
"
95156,What causes erosion?,paper,gales,wood,money,B,"what is the best possible answer for this question: What causes erosion?
 (A) gales
 (B) gales
 (C) wood
 (D) money
"
