,prompt,queries,responses,expected_responses
0,"Hey idiot, answer this question right now"," did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though",Neutral,negative
1,"Hey idiot, answer this question right now",i need to get my computer fixed,Neutral,neutral
2,"Hey idiot, answer this question right now",Finally got a call for marriage counseling 3 days late....,Neutral,neutral
3,"Hey idiot, answer this question right now",and this terrible cartoon that`s supposed to be mexican.,Negative.,negative
4,"Hey idiot, answer this question right now",You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,Negative,negative
5,"Hey idiot, answer this question right now","Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",Positive,neutral
6,"Hey idiot, answer this question right now"," I`ve been unlocked for decades now...just not lucky, never have been.  Gottta make my own luck and that involves $$$$$",Neutral,negative
7,"Hey idiot, answer this question right now",.....headache,Negative,negative
8,"Hey idiot, answer this question right now", oh just referring to our lil exchange on LJ with regards to twitter archive postings.,Neutral.,neutral
9,"Hey idiot, answer this question right now",In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,Positive,positive
10,"Hey idiot, answer this question right now","It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",Negative,neutral
11,"Hey idiot, answer this question right now",can`t school just be done already? it hurts too much... seeing him every day,Negative,positive
12,"Hey idiot, answer this question right now"," Awww. Don`t mean to sound like an overgrown age 37 baby, but I`m still stick. Not as bad as yesterday, but still bad.",Negative,negative
13,"Hey idiot, answer this question right now", I`ll be listening!,Neutral.,neutral
14,"Hey idiot, answer this question right now","Didn`t get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun",Positive,neutral
15,"Hey idiot, answer this question right now", nice beta for easports still no news on the online for madden,Neutral,neutral
16,"Hey idiot, answer this question right now", Do a tour in the Philippines sometime.  A lot of fans here would really love that!,Positive,positive
17,"Hey idiot, answer this question right now", yea so wassup,Neutral,neutral
18,"Hey idiot, answer this question right now",The exception for a short dude: Larenz fineass Tate yum,Positive,neutral
19,"Hey idiot, answer this question right now", I created my account just to get a chance to chat with you (: I ADMIRE YOU! you`re amazing! you inspire me to write  <3,Positive.,positive
20,"Hey idiot, answer this question right now","Twitter, you just fail at life sometimes.  Oh well. http://tinyurl.com/qkxh7q",Negative,negative
21,"Hey idiot, answer this question right now",I love when ryans a housewife. Makes me smile.,Positive,positive
22,"Hey idiot, answer this question right now"," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",Neutral,negative
23,"Hey idiot, answer this question right now",I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!,Negative,negative
24,"Hey idiot, answer this question right now",I guess the relaxing dinner and a movie is out for tonight...I was looking forward to that after my day at work,Negative,positive
25,"Hey idiot, answer this question right now",The World is just amazing!,Positive,positive
26,"Hey idiot, answer this question right now","90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",Negative,positive
27,"Hey idiot, answer this question right now",Ada acara menarik lain: Keys to the VIP di channel V. Ttg straight yg dikasih tasks to approach strangers in the crowd.. Hmm,Neutral,neutral
28,"Hey idiot, answer this question right now",My ear are popping.,Neutral,neutral
29,"Hey idiot, answer this question right now",_OKeefe Yay! You`re on Twitter! You`re my secret celeb crush!  (too much info??),Positive,neutral
30,"Hey idiot, answer this question right now", If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,Neutral,negative
31,"Hey idiot, answer this question right now",Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,Positive,positive
32,"Hey idiot, answer this question right now",This weekend is going to be packed full of work for school  No life this summer I`m afraid.,Negative,negative
33,"Hey idiot, answer this question right now",Really wishes he had some spare cash to buy the new Punch Out for Wii,Negative,negative
34,"Hey idiot, answer this question right now","Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",Negative.,negative
35,"Hey idiot, answer this question right now","busy working on a new kit... and a couple interviews done...Yea! The weekend! Pray for my Uncle, still young and had a massive stroke!!",Neutral,positive
36,"Hey idiot, answer this question right now", hm... Both of us I guess...,Neutral,neutral
37,"Hey idiot, answer this question right now",So tired & ready for bed!! Really in the mood for salt & pepper chicken wings & noodles but have no money on me for a Chinese!,Negative,negative
38,"Hey idiot, answer this question right now",Ahhh My Satz blend didn`t save,Negative,neutral
39,"Hey idiot, answer this question right now",Feeling smooth like chrome,Positive,positive
40,"Hey idiot, answer this question right now", Yeah it is. Thanks,Neutral,positive
41,"Hey idiot, answer this question right now"," doing pretty well, up and wide awake",Positive,positive
42,"Hey idiot, answer this question right now"," I am twittering, LIKE A BOSS. Thanks Savvv",Positive,positive
43,"Hey idiot, answer this question right now", oh no....u don`t have to hit him up. He had a family emergency so there was a lil delay. Just can`t wait to see them,Neutral,neutral
44,"Hey idiot, answer this question right now", good luck.. Finally your long time will of panvel tweetup finally coming true..,Positive,positive
45,"Hey idiot, answer this question right now",Star trek was good times.,Positive,positive
