,prompt,queries,responses
0,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Cell Theory and the History of Cell Biology: The foundation of cell biology.,0
1,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Structure and Function of Cell Membranes: Understanding membrane composition and function.,1
2,"Dear friend, I heard you are the best, if you have the time can you please answer this question","The Endomembrane System: Roles of the ER, Golgi apparatus, and lysosomes.",2
3,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Mitochondria and Cellular Respiration: Energy production in cells.,3
4,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Chloroplasts and Photosynthesis: How plants convert light into energy.,4
5,"Dear friend, I heard you are the best, if you have the time can you please answer this question","The Cytoskeleton and Cellular Movement: Microtubules, microfilaments, and intermediate filaments.",5
6,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Cell Division: Mitosis vs. Meiosis: The processes and their significance.,6
7,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Cell Signaling and Communication: How cells communicate through signaling pathways.,7
8,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Apoptosis and Cell Death: Programmed cell death mechanisms.,8
9,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Stem Cells and Differentiation: The role of stem cells in development and repair.,9
10,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Mendelian Genetics and Inheritance Patterns: Principles of heredity and genetic crosses.,10
11,"Dear friend, I heard you are the best, if you have the time can you please answer this question",DNA Structure and Function: The double helix and its role in genetic information.,11
12,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Genetic Mutations and Their Effects: Types of mutations and their consequences.,12
13,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Genetic Recombination and Crossing Over: How genetic diversity is generated.,13
14,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Gene Regulation and Epigenetics: Mechanisms controlling gene expression.,14
15,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Genetic Disorders and Diseases: Examples of genetic conditions and their inheritance.,15
16,"Dear friend, I heard you are the best, if you have the time can you please answer this question",The Human Genome Project: Mapping and understanding the human genome.,16
17,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Genetic Engineering and CRISPR: Tools for modifying genes and their applications.,17
18,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Population Genetics and Genetic Drift: The study of allele frequency changes in populations.,18
19,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Quantitative Genetics and Heritability: The role of multiple genes in traits.,19
20,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Darwinג€™s Theory of Natural Selection: The mechanism of evolution.,20
21,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Speciation and Evolutionary Processes: How new species arise.,21
22,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Evolutionary Developmental Biology (Evo-Devo): The role of developmental processes in evolution.,22
23,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Population Ecology and Population Dynamics: Factors affecting population growth and regulation.,23
24,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Community Ecology and Interactions: Relationships between species in ecosystems.,24
25,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Ecosystem Structure and Function: Energy flow and nutrient cycling.,25
26,"Dear friend, I heard you are the best, if you have the time can you please answer this question","Biogeochemical Cycles: Carbon, nitrogen, and phosphorus cycles.",26
27,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Conservation Biology and Biodiversity: The importance of preserving species and habitats.,27
28,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Human Impact on the Environment: Effects of human activities on ecosystems.,28
29,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Ecological Succession and Disturbance: How ecosystems change over time.,29
30,"Dear friend, I heard you are the best, if you have the time can you please answer this question",Homeostasis and Regulation: Maintaining internal stability in organisms.,30
31,"Dear friend, I heard you are the best, if you have the time can you please answer this question",The Nervous System and Neural Communication: How the nervous system processes and transmits information.,31
32,"Dear friend, I heard you are the best, if you have the time can you please answer this question",The Endocrine System and Hormonal Regulation: Hormones and their effects on the body.,32
